nombre_seleccion,grupo_oficial,probabilidad_fase_grupos_pct,probabilidad_dieciseisavos_pct,probabilidad_octavos_pct,probabilidad_cuartos_pct,probabilidad_semifinal_pct,probabilidad_final_pct,probabilidad_campeon_pct
Spain,Grupo H,98.8,85.12,71.4,57.65,41.18,26.44,17.0
Uruguay,Grupo H,79.91,52.3,33.1,11.42,5.51,1.73,0.6
Cape Verde,Grupo H,48.04,21.15,12.4,6.44,2.52,0.71,0.27
Saudi Arabia,Grupo H,37.02,14.2,8.15,4.22,1.58,0.36,0.05
Brazil,Grupo C,96.5,82.4,68.9,55.14,35.63,22.1,13.25
Argentina,Grupo J,91.78,76.5,58.2,38.39,21.7,14.26,7.5
France,Grupo I,94.94,79.1,60.4,38.78,20.16,13.1,6.41
Germany,Grupo E,89.2,71.4,52.1,31.5,16.4,9.8,4.2
England,Grupo L,92.1,74.8,54.3,33.2,17.1,10.2,4.5
Netherlands,Grupo F,88.5,69.3,48.7,28.4,13.9,7.4,3.1
Portugal,Grupo K,87.4,66.1,45.2,26.1,12.3,6.1,2.4
Mexico,Grupo A,84.6,55.4,34.2,20.91,7.96,3.2,1.1
